Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,6917.8957,1163.4704,1163.3178,0.1526,0.0000,1163.9910,0.6265,1163.3645,1169.8857,12.2594,0.0000,6917.8957,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8081.3661,15.0498,14.9392,0.1106,0.4594,14.8474,0.3558,14.4916,18.6747,296.8388,1151.2110,8081.3661,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8096.4159,296.3139,296.1661,0.1478,0.2664,296.5070,0.5889,295.9181,300.4637,12.1288,-281.7890,8096.4159,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8392.7298,14.6249,14.5098,0.1151,0.4642,14.3937,0.3349,14.0588,16.2786,284.8451,284.1851,8392.7298,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8407.3547,284.9399,284.7503,0.1896,0.2474,285.0837,0.5696,284.5141,286.4988,12.2460,-270.2202,8407.3547,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8692.2946,9.6545,9.5513,0.1032,0.3951,9.4984,0.3311,9.1673,13.8049,290.7699,272.6939,8692.2946,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8701.9491,293.8777,293.5498,0.3279,0.2500,293.7685,0.4527,293.3158,294.9203,18.1818,-281.1154,8701.9491,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,8995.8268,17.9563,17.2643,0.6920,0.1441,17.7355,0.1781,17.5574,19.2244,478.9033,275.6959,8995.8268,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,9013.7831,473.1471,472.9925,0.1546,0.0000,473.4309,0.4400,472.9909,480.1714,6.0300,-460.9470,9013.7831,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,9486.9302,8.3469,8.2369,0.1100,0.2091,8.2224,0.1833,8.0391,13.0543,296.8905,467.1171,9486.9302,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,9495.2771,295.1494,294.9735,0.1759,0.0932,295.3536,0.4525,294.9011,NA,NA,NA,NA,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,9790.4265,1.2626,0.1448,1.1178,0.2990,0.0232,0.0232,0.0000,6.4485,303.1883,6.6058,9790.4265,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,9791.6891,301.6246,301.3453,0.2793,0.0000,302.7321,0.5431,302.1890,308.3742,5.8977,-301.9257,9791.6891,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,10093.3137,10.6072,10.4710,0.1362,0.1732,10.6757,0.3651,10.3106,12.6473,290.9414,295.7269,10093.3137,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,10103.9209,289.5300,289.2943,0.2357,0.2530,289.3608,0.2948,289.0660,292.9815,303.0044,-280.3342,10103.9209,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,10393.4509,302.0650,301.6823,0.3827,0.0887,301.8946,0.2097,301.6849,306.4559,303.0502,-13.4744,10393.4509,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,10695.5159,304.5220,304.1234,0.3986,0.0000,304.5357,0.2535,304.2822,307.4411,296.9620,-0.9852,10695.5159,NA,NA
ffxiv-dawntrail-bench.exe,30808,0x218F66F8,D3D9,-1,0,0,Composed: Copy with GPU GDI,Application,11000.0379,297.1138,296.9274,0.1864,0.0000,297.2641,0.2664,296.9977,299.8811,309.2672,7.5600,11000.0379,NA,NA
